sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type,total_donasi_sender,jumlah_transaksi_sender,rata_rata_donasi_sender,std_donasi_sender,jumlah_donasi_30hari_sender,selang_waktu_rata2_sender,receiver_unik_per_sender,degree_centrality_sender,sender_unik_per_receiver,degree_centrality_receiver,max_donasi_satu_receiver,proporsi_donasi_terbesar_per_sender,flag_donasi_melebihi_batas
Irma Yuniar,individual,Ana Maryati,individual,2025-04-12,1126495844,False,,1126495844,1,1126495844.0,,1.0,,1,1,1,1,1126495844,1.0,False
PD Budiman,corporation,Partai Rakyat Sejahtera,political-party,2024-05-04,1189334995,True,proxy,15176127334,5,3035225466.8,6020455420.160951,2.0,119.75,5,5,404,404,13770089045,0.9073519707593671,True
PD Mansur (Persero) Tbk,organization,Darimin Nainggolan,individual,2025-03-17,1699015483,True,proxy,1699015483,1,1699015483.0,,1.0,,1,1,2,2,1699015483,1.0,False
CV Prakasa Palastri Tbk,organization,Partai Harapan Bangsa,political-party,2025-09-30,840974557,True,proxy,840974557,1,840974557.0,,1.0,,1,1,436,436,840974557,1.0,False
PD Najmudin Tbk,corporation,Gawati Permata,individual,2024-04-09,16710348,True,smurfing,42498267,2,21249133.5,6418812.010802349,1.0,49.0,2,2,1,1,25787919,0.6067993078400115,False
PT Simanjuntak Saputra (Persero) Tbk,organization,Partai Rakyat Sejahtera,political-party,2024-06-24,146514506,False,,146514506,1,146514506.0,,1.0,,1,1,404,404,146514506,1.0,False
Bambang Mustofa,individual,Partai Indonesia Maju,political-party,2025-12-18,72519941,True,smurfing,72519941,1,72519941.0,,1.0,,1,1,411,411,72519941,1.0,False
PD Palastri Nashiruddin,corporation,"Dt. Ismail Susanti, M.M.",individual,2025-04-06,1918479061,True,proxy,1918479061,1,1918479061.0,,1.0,,1,1,1,1,1918479061,1.0,False
PT Wibowo,corporation,"Soleh Ramadan, M.Farm",individual,2025-12-16,19395146815,True,self_funded,27190516617,3,9063505539.0,9746804735.86516,1.0,227.0,3,3,1,1,19395146815,0.7133055648848469,False
PT Mustofa Lazuardi Tbk,corporation,"Harjaya Hutagalung, S.Sos",individual,2025-04-20,9796755193,False,,9796755193,1,9796755193.0,,1.0,,1,1,1,1,9796755193,1.0,False
Perum Setiawan Saefullah,corporation,"Tgk. Amalia Kusumo, M.Ak",individual,2024-05-15,68162651,True,smurfing,68162651,1,68162651.0,,1.0,,1,1,1,1,68162651,1.0,False
Dimaz Maryadi,individual,Partai Demokrat,political-party,2024-04-08,107505786,False,,107505786,1,107505786.0,,1.0,,1,1,429,429,107505786,1.0,False
PD Melani,corporation,Tgk. Septi Laksita,individual,2024-11-28,13936886685,True,self_funded,32658661725,2,16329330862.5,3383427003.041044,1.0,158.0,2,2,1,1,18721775040,0.5732560384024737,False
UD Hariyah,corporation,"Restu Zulkarnain, S.Sos",individual,2025-06-05,675072705,False,,1325086953,2,662543476.5,17719004.87077151,2.0,18.0,2,2,1,1,675072705,0.5094554009996354,False
Yahya Pratiwi,individual,Putu Nainggolan,individual,2025-07-29,63548065,True,smurfing,63548065,1,63548065.0,,1.0,,1,1,2,2,63548065,1.0,False
Perum Riyanti Hasanah,corporation,"Pangestu Usada, M.Farm",individual,2024-12-03,83572477,True,smurfing,83572477,1,83572477.0,,1.0,,1,1,1,1,83572477,1.0,False
Jarwi Nasyiah,individual,Partai Kebangkitan Rakyat,political-party,2025-04-01,138560268,False,,138560268,1,138560268.0,,1.0,,1,1,382,382,138560268,1.0,False
PD Lazuardi Tbk,corporation,Aisyah Susanti,individual,2024-05-07,7021556135,True,self_funded,7024747531,2,3512373765.5,4962733299.787454,1.0,271.0,2,2,1,1,7021556135,0.9995456924272486,False
"H. Saiful Mandasari, S.Sos",individual,Hj. Kiandra Tamba,individual,2025-06-30,2232908064,False,,2232908064,1,2232908064.0,,1.0,,1,1,1,1,2232908064,1.0,False
UD Hutagalung Sitorus Tbk,corporation,Partai Rakyat Sejahtera,political-party,2025-04-28,234615675,False,,234615675,1,234615675.0,,1.0,,1,1,404,404,234615675,1.0,False
PT Winarsih,organization,Partai Rakyat Sejahtera,political-party,2024-07-05,31766582,True,smurfing,1763443350,6,293907225.0,626345100.580691,1.0,103.2,6,6,404,404,1571695797,0.8912652606617616,False
CV Yuliarti Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2025-09-07,619288193,False,,619288193,1,619288193.0,,1.0,,1,1,382,382,619288193,1.0,False
"R. Putri Yulianti, S.Pd",individual,Partai Rakyat Sejahtera,political-party,2025-10-23,171559702,False,,171559702,1,171559702.0,,1.0,,1,1,404,404,171559702,1.0,False
"Dt. Digdaya Hassanah, M.Pd",individual,Partai Nasional Demokrat,political-party,2024-05-10,27374205,False,,27374205,1,27374205.0,,1.0,,1,1,434,434,27374205,1.0,False
"Bagus Widodo, M.Ak",individual,"Ir. Dono Mahendra, S.Farm",individual,2024-03-05,1679095909,False,,1679095909,1,1679095909.0,,1.0,,1,1,1,1,1679095909,1.0,False
"drg. Vicky Farida, M.Pd",individual,Wage Dongoran,individual,2024-10-16,1482620871,True,self_funded,1482620871,1,1482620871.0,,1.0,,1,1,1,1,1482620871,1.0,False
UD Sirait (Persero) Tbk,organization,Dr. Winda Siregar,individual,2025-11-25,80409605,True,smurfing,80409605,1,80409605.0,,1.0,,1,1,1,1,80409605,1.0,False
CV Rajata Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2024-08-20,273821140,False,,2408336297,3,802778765.6666666,919306131.454879,1.0,83.5,3,3,382,382,1864300009,0.7741028573635288,False
Mumpuni Ramadan,individual,Tgk. Lala Narpati,individual,2024-08-25,967394139,False,,967394139,1,967394139.0,,1.0,,1,1,1,1,967394139,1.0,False
drg. Tirtayasa Santoso,individual,Cornelia Mahendra,individual,2025-08-22,1601159930,False,,1601159930,1,1601159930.0,,1.0,,1,1,1,1,1601159930,1.0,False
Daru Winarno,individual,"Eva Prabowo, S.Pt",individual,2024-11-18,3222672211,True,over_limit,3222672211,1,3222672211.0,,1.0,,1,1,1,1,3222672211,1.0,True
PD Hariyah Tbk,organization,Vicky Samosir,individual,2025-01-13,3756192,True,smurfing,3756192,1,3756192.0,,1.0,,1,1,1,1,3756192,1.0,False
UD Nurdiyanti Tbk,organization,"Elvina Permata, S.Kom",individual,2025-11-04,20576011313,False,,22232097225,2,11116048612.5,13378407550.59071,1.0,53.0,2,2,1,1,20576011313,0.9255092358026515,False
Dadap Wasita,individual,Wardi Winarsih,individual,2025-07-29,1929373417,True,self_funded,1929373417,1,1929373417.0,,1.0,,1,1,1,1,1929373417,1.0,False
Syahrini Maryati,individual,Partai Indonesia Maju,political-party,2024-01-19,2186546,False,,2186546,1,2186546.0,,1.0,,1,1,411,411,2186546,1.0,False
"R.M. Sabar Setiawan, S.I.Kom",individual,Tgk. Almira Mardhiyah,individual,2024-09-28,715671876,False,,715671876,1,715671876.0,,1.0,,1,1,1,1,715671876,1.0,False
UD Mardhiyah (Persero) Tbk,corporation,"Drs. Yono Saragih, S.E.I",individual,2024-01-15,9259933294,True,self_funded,10762307230,2,5381153615.0,5485422827.4989605,1.0,529.0,2,2,1,1,9259933294,0.8604041025875824,False
Perum Nurdiyanti Firgantoro Tbk,organization,"Hj. Uli Astuti, S.Ked",individual,2024-06-16,246396689,True,proxy,246396689,1,246396689.0,,1.0,,1,1,1,1,246396689,1.0,False
Dr. Hasna Mahendra,individual,"Cinthia Yulianti, M.M.",individual,2025-07-31,960491798,False,,960491798,1,960491798.0,,1.0,,1,1,1,1,960491798,1.0,False
Akarsana Habibi,individual,Zulfa Widiastuti,individual,2024-10-30,876952452,False,,876952452,1,876952452.0,,1.0,,1,1,1,1,876952452,1.0,False
PD Prayoga,organization,Partai Nasional Demokrat,political-party,2024-06-22,705059755,True,proxy,705059755,1,705059755.0,,1.0,,1,1,434,434,705059755,1.0,False
"Raisa Habibi, M.TI.",individual,Cinthia Prastuti,individual,2025-05-18,1690797331,True,self_funded,1690797331,1,1690797331.0,,1.0,,1,1,1,1,1690797331,1.0,False
Cut Suci Dabukke,individual,Partai Keadilan Indonesia,political-party,2025-12-14,67114994,False,,67114994,1,67114994.0,,1.0,,1,1,422,422,67114994,1.0,False
"drg. Zaenab Fujiati, S.T.",individual,R. Tomi Hutasoit,individual,2024-01-30,1557093307,False,,1557093307,1,1557093307.0,,1.0,,1,1,1,1,1557093307,1.0,False
UD Pratiwi,organization,Rahmi Damanik,individual,2024-08-27,18308826078,False,,18791200105,2,9395600052.5,12605205129.758938,1.0,148.0,2,2,1,1,18308826078,0.974329791375504,False
UD Wahyuni,corporation,Zizi Wijayanti,individual,2024-12-13,14710992174,True,self_funded,14890220489,2,7445110244.5,10275508767.300493,1.0,8.0,2,2,2,2,14710992174,0.9879633538581646,False
Kawaca Santoso,individual,Partai Amanat Rakyat,political-party,2024-03-25,60462346,True,smurfing,60462346,1,60462346.0,,1.0,,1,1,411,411,60462346,1.0,False
PT Wijayanti,corporation,Partai Nasional Demokrat,political-party,2024-04-23,533087256,False,,1336845572,4,334211393.0,218999599.17063108,1.0,94.66666666666667,4,4,434,434,533087256,0.39876502354903265,False
PT Prasetyo,organization,Partai Persatuan,political-party,2025-03-15,1225369893,True,proxy,1225369893,1,1225369893.0,,1.0,,1,1,415,415,1225369893,1.0,False
"Lidya Lailasari, S.E.",individual,"dr. Ciaobella Sihombing, S.Ked",individual,2025-06-17,784915026,False,,784915026,1,784915026.0,,1.0,,1,1,1,1,784915026,1.0,False
PT Andriani Mandala Tbk,corporation,dr. Among Hassanah,individual,2024-01-09,24079777020,True,self_funded,24079777020,1,24079777020.0,,1.0,,1,1,1,1,24079777020,1.0,False
Setya Riyanti,individual,Partai Rakyat Sejahtera,political-party,2024-01-16,5590553,False,,5590553,1,5590553.0,,1.0,,1,1,404,404,5590553,1.0,False
"Galak Saptono, S.E.",individual,"Saka Anggraini, M.M.",individual,2025-05-22,1958323575,False,,1958323575,1,1958323575.0,,1.0,,1,1,1,1,1958323575,1.0,False
PT Samosir Nashiruddin Tbk,corporation,Tgk. Naradi Lailasari,individual,2025-09-09,15727839635,False,,15727839635,1,15727839635.0,,1.0,,1,1,1,1,15727839635,1.0,False
Ir. Rizki Laksita,individual,Bajragin Nugroho,individual,2024-01-09,1609408822,True,self_funded,1609408822,1,1609408822.0,,1.0,,1,1,1,1,1609408822,1.0,False
Asirwanda Winarsih,individual,Sutan Makuta Pradipta,individual,2024-02-10,65292750,True,smurfing,65292750,1,65292750.0,,1.0,,1,1,1,1,65292750,1.0,False
Perum Handayani (Persero) Tbk,organization,Partai Rakyat Sejahtera,political-party,2024-04-11,47592159,True,smurfing,63572244,2,31786122.0,22353111.89277095,1.0,31.0,2,2,404,404,47592159,0.7486311007048926,False
PT Astuti Yolanda (Persero) Tbk,corporation,Partai Indonesia Maju,political-party,2025-04-16,10329121,True,smurfing,10329121,1,10329121.0,,1.0,,1,1,411,411,10329121,1.0,False
CV Yulianti Lestari (Persero) Tbk,corporation,dr. Makara Yulianti,individual,2024-05-05,14760953415,False,,14760953415,1,14760953415.0,,1.0,,1,1,1,1,14760953415,1.0,False
PT Prakasa Tbk,organization,Partai Harapan Bangsa,political-party,2025-03-11,68748469,True,proxy,571843667,3,190614555.66666666,194462679.11347836,1.0,189.5,3,3,436,436,414879244,0.7255116528203153,False
R. Farhunnisa Wacana,individual,Dipa Zulkarnain,individual,2025-02-01,415595671,False,,415595671,1,415595671.0,,1.0,,1,1,1,1,415595671,1.0,False
CV Hassanah Latupono Tbk,organization,"Kayun Permadi, S.H.",individual,2024-06-13,36969300,True,smurfing,36969300,1,36969300.0,,1.0,,1,1,1,1,36969300,1.0,False
"Sutan Cager Aryani, S.Psi",individual,Partai Harapan Bangsa,political-party,2024-12-17,74077399,False,,74077399,1,74077399.0,,1.0,,1,1,436,436,74077399,1.0,False
Alambana Pangestu,individual,Partai Kebangkitan Rakyat,political-party,2025-12-03,115997525,False,,115997525,1,115997525.0,,1.0,,1,1,382,382,115997525,1.0,False
Cut Samiah Saputra,individual,"KH. Baktianto Laksita, S.E.I",individual,2025-02-20,225841280,True,self_funded,225841280,1,225841280.0,,1.0,,1,1,1,1,225841280,1.0,False
PT Sirait Firgantoro (Persero) Tbk,corporation,"Hilda Handayani, S.T.",individual,2025-12-11,22264035714,True,self_funded,22264035714,1,22264035714.0,,1.0,,1,1,1,1,22264035714,1.0,False
CV Hassanah Pradipta Tbk,organization,Partai Keadilan Indonesia,political-party,2024-10-13,20072796,True,smurfing,20072796,1,20072796.0,,1.0,,1,1,422,422,20072796,1.0,False
"Hendri Nasyidah, S.Ked",individual,Drs. Farah Mayasari,individual,2025-07-25,1500910621,False,,1500910621,1,1500910621.0,,1.0,,1,1,1,1,1500910621,1.0,False
"T. Dadap Winarsih, S.T.",individual,"Zamira Simanjuntak, M.M.",individual,2025-01-08,555002680,False,,555002680,1,555002680.0,,1.0,,1,1,1,1,555002680,1.0,False
Hafshah Waluyo,individual,Partai Solidaritas Indonesia,political-party,2025-03-21,108221187,False,,108221187,1,108221187.0,,1.0,,1,1,431,431,108221187,1.0,False
Zelda Yolanda,individual,Partai Solidaritas Indonesia,political-party,2025-05-07,79930242,False,,79930242,1,79930242.0,,1.0,,1,1,431,431,79930242,1.0,False
Drs. Talia Marbun,individual,Umi Prastuti,individual,2024-05-18,856889321,False,,856889321,1,856889321.0,,1.0,,1,1,1,1,856889321,1.0,False
UD Wahyudin,corporation,Partai Keadilan Indonesia,political-party,2024-01-30,1463433597,True,proxy,5410136781,3,1803378927.0,317227679.89886653,1.0,338.5,3,3,422,422,2091509454,0.3865908642726421,True
drg. Dacin Hassanah,individual,Partai Solidaritas Indonesia,political-party,2024-04-21,35452094,False,,35452094,1,35452094.0,,1.0,,1,1,431,431,35452094,1.0,False
Tugiman Pertiwi,individual,Belinda Mustofa,individual,2024-07-16,103986590,False,,103986590,1,103986590.0,,1.0,,1,1,1,1,103986590,1.0,False
Jaga Nasyiah,individual,Partai Indonesia Maju,political-party,2024-04-29,176572281,False,,176572281,1,176572281.0,,1.0,,1,1,411,411,176572281,1.0,False
CV Damanik (Persero) Tbk,organization,drg. Murti Winarsih,individual,2024-03-08,18985685,True,smurfing,1033055540,2,516527770.0,703630764.4583873,1.0,285.0,2,2,1,1,1014069855,0.981621815802856,False
Adikara Sirait,individual,Nabila Suartini,individual,2024-08-31,1566716205,True,self_funded,1566716205,1,1566716205.0,,1.0,,1,1,1,1,1566716205,1.0,False
PT Hutasoit Lestari,corporation,Ifa Utama,individual,2024-07-29,16585348904,False,,16585348904,1,16585348904.0,,1.0,,1,1,1,1,16585348904,1.0,False
Perum Utama Prastuti,organization,Suci Purnawati,individual,2024-07-11,528791772,True,proxy,528791772,1,528791772.0,,1.0,,1,1,1,1,528791772,1.0,False
PD Sitorus,organization,Partai Amanat Rakyat,political-party,2024-07-20,83066965,True,smurfing,13842560974,4,3460640243.5,6294417196.298273,1.0,134.66666666666666,4,4,411,411,12886540573,0.9309361611051843,False
Perum Siregar (Persero) Tbk,corporation,Partai Demokrat,political-party,2024-08-19,313319388,True,proxy,29554051191,4,7388512797.75,8386890317.112259,1.0,180.33333333333334,4,4,429,429,15859711730,0.5366341022928764,False
Perum Waskita Hidayat (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2024-03-04,522727417,False,,522727417,1,522727417.0,,1.0,,1,1,411,411,522727417,1.0,False
PT Kereta Api Indonesia (Persero),corporation,Partai Solidaritas Indonesia,political-party,2025-01-31,323216877,True,illegal_source,145985883063,16,9124117691.4375,8893912355.329416,1.0,40.86666666666667,14,14,431,431,23830858073,0.16324083927153304,False
Dadi Pangestu,individual,Partai Amanat Rakyat,political-party,2025-06-15,173152032,False,,173152032,1,173152032.0,,1.0,,1,1,411,411,173152032,1.0,False
Ibrahim Putra,individual,Partai Nasional Demokrat,political-party,2025-06-19,45082922,False,,45082922,1,45082922.0,,1.0,,1,1,434,434,45082922,1.0,False
Aurora Wacana,individual,Partai Amanat Rakyat,political-party,2025-01-03,139090180,False,,139090180,1,139090180.0,,1.0,,1,1,411,411,139090180,1.0,False
Indah Sitompul,individual,Partai Demokrat,political-party,2025-02-02,97171163,False,,97171163,1,97171163.0,,1.0,,1,1,429,429,97171163,1.0,False
PT Tampubolon Hariyah Tbk,organization,"Hj. Tiara Widodo, S.Ked",individual,2025-12-30,1260429911,True,proxy,1260429911,1,1260429911.0,,1.0,,1,1,1,1,1260429911,1.0,False
PD Winarno Tbk,organization,"Lidya Wastuti, S.Pt",individual,2024-05-22,15348710209,False,,15348710209,1,15348710209.0,,1.0,,1,1,1,1,15348710209,1.0,False
UD Waskita Tbk,organization,Partai Nasional Demokrat,political-party,2024-02-05,1903547,True,smurfing,695949419,2,347974709.5,489418531.5537233,1.0,219.0,2,2,434,434,694045872,0.9972648199020911,False
Silvia Simanjuntak,individual,Partai Persatuan,political-party,2024-08-05,158965919,False,,158965919,1,158965919.0,,1.0,,1,1,415,415,158965919,1.0,False
Mutia Laksmiwati,individual,Partai Indonesia Maju,political-party,2024-10-21,120432799,False,,120432799,1,120432799.0,,1.0,,1,1,411,411,120432799,1.0,False
"Laras Pangestu, S.Sos",individual,Partai Demokrat,political-party,2025-11-23,59762444,True,smurfing,59762444,1,59762444.0,,1.0,,1,1,429,429,59762444,1.0,False
Salimah Suryatmi,individual,"Drs. Garda Nurdiyanti, M.M.",individual,2024-02-13,1029928959,False,,1029928959,1,1029928959.0,,1.0,,1,1,1,1,1029928959,1.0,False
CV Yulianti Pranowo (Persero) Tbk,corporation,Partai Indonesia Maju,political-party,2025-04-28,111538845,False,,111538845,1,111538845.0,,1.0,,1,1,411,411,111538845,1.0,False
PT Prakasa Tbk,organization,Partai Keadilan Indonesia,political-party,2024-02-26,414879244,True,proxy,571843667,3,190614555.66666666,194462679.11347836,1.0,189.5,3,3,422,422,414879244,0.7255116528203153,False
Jatmiko Wibowo,individual,"Kezia Astuti, M.Farm",individual,2025-05-30,1710486353,True,self_funded,1710486353,1,1710486353.0,,1.0,,1,1,1,1,1710486353,1.0,False
PT Kereta Api Indonesia (Persero),corporation,Tgk. Bagas Novitasari,individual,2025-02-26,21392357462,True,illegal_source,145985883063,16,9124117691.4375,8893912355.329416,2.0,40.86666666666667,14,14,1,1,23830858073,0.16324083927153304,False
Rama Damanik,individual,"Dt. Cawisono Mandasari, M.TI.",individual,2024-11-25,260317151,False,,260317151,1,260317151.0,,1.0,,1,1,1,1,260317151,1.0,False
Perum Mandasari (Persero) Tbk,corporation,Partai Rakyat Sejahtera,political-party,2024-05-20,1330178774,True,proxy,1330178774,1,1330178774.0,,1.0,,1,1,404,404,1330178774,1.0,True
CV Dongoran,corporation,Irsad Winarno,individual,2024-04-24,1207183483,True,proxy,1207183483,1,1207183483.0,,1.0,,1,1,1,1,1207183483,1.0,False
PT Saefullah Maryadi,corporation,Simon Mustofa,individual,2024-04-11,14755839634,True,self_funded,14755839634,1,14755839634.0,,1.0,,1,1,1,1,14755839634,1.0,False
Drs. Hari Aryani,individual,Hendri Mardhiyah,individual,2024-01-23,1336326565,False,,1336326565,1,1336326565.0,,1.0,,1,1,1,1,1336326565,1.0,False
"Uchita Saputra, S.Gz",individual,"drg. Hairyanto Zulkarnain, S.Gz",individual,2024-04-25,438320919,False,,438320919,1,438320919.0,,1.0,,1,1,1,1,438320919,1.0,False
PT Pertiwi Tarihoran,corporation,Hasan Palastri,individual,2025-03-29,6336383659,True,self_funded,6336383659,1,6336383659.0,,1.0,,1,1,1,1,6336383659,1.0,False
"Cecep Nashiruddin, S.Psi",individual,"Drs. Daniswara Jailani, S.Gz",individual,2024-06-30,1372153483,False,,1372153483,1,1372153483.0,,1.0,,1,1,1,1,1372153483,1.0,False
Anom Natsir,individual,Partai Persatuan,political-party,2024-03-09,131004317,False,,131004317,1,131004317.0,,1.0,,1,1,415,415,131004317,1.0,False
UD Purwanti Puspita,organization,Partai Harapan Bangsa,political-party,2025-01-10,65543503,True,smurfing,65543503,1,65543503.0,,1.0,,1,1,436,436,65543503,1.0,False
"Cakrabuana Dabukke, S.Kom",individual,Partai Keadilan Indonesia,political-party,2025-10-03,160583620,False,,160583620,1,160583620.0,,1.0,,1,1,422,422,160583620,1.0,False
CV Irawan Tbk,corporation,"Taufan Wahyuni, S.I.Kom",individual,2024-01-12,1405914617,True,proxy,1405914617,1,1405914617.0,,1.0,,1,1,1,1,1405914617,1.0,False
Perum Habibi (Persero) Tbk,organization,Yance Yuliarti,individual,2024-12-16,19440678,True,smurfing,12961717043,2,6480858521.5,9137824746.437218,1.0,23.0,2,2,1,1,12942276365,0.998500146397618,False
Perum Handayani (Persero) Tbk,corporation,"Danang Padmasari, M.Kom.",individual,2024-03-11,15980085,True,smurfing,63572244,2,31786122.0,22353111.89277095,1.0,31.0,2,2,1,1,47592159,0.7486311007048926,False
"dr. Dewi Gunarto, M.M.",individual,Partai Nasional Demokrat,political-party,2024-02-09,81072164,True,smurfing,81072164,1,81072164.0,,1.0,,1,1,434,434,81072164,1.0,False
CV Habibi Natsir Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2024-02-11,531785750,False,,531785750,1,531785750.0,,1.0,,1,1,382,382,531785750,1.0,False
Cinta Gunawan,individual,Hj. Latika Usamah,individual,2025-02-11,2005808813,True,self_funded,2005808813,1,2005808813.0,,1.0,,1,1,1,1,2005808813,1.0,False
CV Najmudin,organization,Partai Harapan Bangsa,political-party,2025-10-30,62231165,True,proxy,5755060507,2,2877530253.5,3981434153.0933123,1.0,391.0,2,2,436,436,5692829342,0.989186705348396,False
Kawaya Oktaviani,individual,Partai Nasional Demokrat,political-party,2025-11-17,96023187,False,,96023187,1,96023187.0,,1.0,,1,1,434,434,96023187,1.0,False
Perum Winarsih Kuswandari (Persero) Tbk,corporation,Partai Rakyat Sejahtera,political-party,2024-07-26,1223315066,True,proxy,1223315066,1,1223315066.0,,1.0,,1,1,404,404,1223315066,1.0,True
PT Manullang,corporation,"drg. Bagas Najmudin, M.Pd",individual,2024-09-11,214106518,True,proxy,9899773121,5,1979954624.2,3576126549.020301,2.0,78.5,5,5,1,1,8325969439,0.8410262878993103,False
Padma Laksita,individual,Jasmin Zulaika,individual,2025-02-24,2173029108,False,,2173029108,1,2173029108.0,,1.0,,1,1,1,1,2173029108,1.0,False
Titi Puspasari,individual,Kiandra Rajasa,individual,2024-03-14,1038843962,False,,1038843962,1,1038843962.0,,1.0,,1,1,1,1,1038843962,1.0,False
"Kamaria Saragih, S.H.",individual,Harto Uyainah,individual,2024-06-29,1196655710,False,,1196655710,1,1196655710.0,,1.0,,1,1,1,1,1196655710,1.0,False
Perum Winarsih Tbk,corporation,Partai Nasional Demokrat,political-party,2025-07-03,537224557,False,,537224557,1,537224557.0,,1.0,,1,1,434,434,537224557,1.0,False
PT Mayasari Tbk,corporation,Tedi Tarihoran,individual,2024-10-10,3398874491,False,,4945288610,2,2472644305.0,1309887290.9205544,1.0,274.0,2,2,1,1,3398874491,0.6872954763705894,False
Dartono Rahayu,individual,Cawisadi Maheswara,individual,2024-07-12,861046349,False,,861046349,1,861046349.0,,1.0,,1,1,1,1,861046349,1.0,False
Carla Kusumo,individual,Timbul Samosir,individual,2025-02-04,489483763,False,,489483763,1,489483763.0,,1.0,,1,1,1,1,489483763,1.0,False
PD Damanik,corporation,Queen Situmorang,individual,2024-10-06,995391603,True,proxy,995391603,1,995391603.0,,1.0,,1,1,2,2,995391603,1.0,False
Perum Winarno,corporation,Maria Sihotang,individual,2025-09-06,53441396,True,smurfing,53441396,1,53441396.0,,1.0,,1,1,1,1,53441396,1.0,False
Perum Santoso,corporation,Partai Demokrat,political-party,2025-03-04,741796681,True,proxy,8848855796,3,2949618598.6666665,4192431133.3752675,1.0,209.5,3,3,429,429,7784564346,0.8797255289795661,False
"Vanesa Sihombing, M.TI.",individual,Partai Harapan Bangsa,political-party,2025-03-06,35442984,False,,35442984,1,35442984.0,,1.0,,1,1,436,436,35442984,1.0,False
UD Hutasoit,corporation,Ikin Sudiati,individual,2025-01-01,51332990,True,smurfing,707709327,2,353854663.5,427830253.5755054,1.0,126.0,2,2,1,1,656376337,0.9274659976326693,False
Qori Tarihoran,individual,Partai Amanat Rakyat,political-party,2025-09-11,158799009,False,,158799009,1,158799009.0,,1.0,,1,1,411,411,158799009,1.0,False
PT Kurniawan Tbk,organization,Partai Demokrat,political-party,2024-09-25,1308053790,True,over_limit,1308053790,1,1308053790.0,,1.0,,1,1,429,429,1308053790,1.0,False
PD Saragih Manullang,corporation,Gangsar Hasanah,individual,2024-01-14,11242330533,True,self_funded,11242330533,1,11242330533.0,,1.0,,1,1,1,1,11242330533,1.0,False
"R.M. Bambang Utama, M.Farm",individual,Partai Demokrat,political-party,2025-04-03,63024403,False,,63024403,1,63024403.0,,1.0,,1,1,429,429,63024403,1.0,False
Endra Hidayanto,individual,Hari Siregar,individual,2025-12-03,1836170772,False,,1836170772,1,1836170772.0,,1.0,,1,1,1,1,1836170772,1.0,False
CV Pratiwi Usada,corporation,Partai Demokrat,political-party,2024-02-04,114279384,False,,114279384,1,114279384.0,,1.0,,1,1,429,429,114279384,1.0,False
CV Maulana Yuliarti (Persero) Tbk,corporation,Partai Persatuan,political-party,2025-11-05,1877356583,True,proxy,1877356583,1,1877356583.0,,1.0,,1,1,415,415,1877356583,1.0,True
R. Titi Anggriawan,individual,Cut Puput Sitorus,individual,2025-12-01,1930479687,True,self_funded,1930479687,1,1930479687.0,,1.0,,1,1,1,1,1930479687,1.0,False
"Sutan Nasim Halimah, S.Gz",individual,Kenari Padmasari,individual,2024-08-30,561278663,False,,561278663,1,561278663.0,,1.0,,1,1,1,1,561278663,1.0,False
"Tgk. Paris Permata, S.Pd",individual,Partai Harapan Bangsa,political-party,2024-01-16,103204592,False,,103204592,1,103204592.0,,1.0,,1,1,436,436,103204592,1.0,False
UD Hutagalung,organization,Julia Suryatmi,individual,2025-09-06,1398053736,True,proxy,24263782744,3,8087927581.333333,11294838549.055637,1.0,297.0,3,3,1,1,21128614542,0.8707881522399771,False
Mulya Yuliarti,individual,Karen Zulaika,individual,2024-12-10,1711475673,False,,1711475673,1,1711475673.0,,1.0,,1,1,1,1,1711475673,1.0,False
PD Firmansyah,organization,Indah Rahmawati,individual,2024-10-25,362601407,True,proxy,645805718,2,322902859.0,56142224.988119304,1.0,402.0,2,2,1,1,362601407,0.5614713479511186,False
Pemerintah Desa Cibeber,organization,Partai Demokrat,political-party,2025-07-12,187834799,True,illegal_source,86206249826,16,5387890614.125,7328759417.201369,2.0,42.53333333333333,14,14,429,429,21382739840,0.24804164295696943,False
"R. Timbul Firgantoro, S.E.",individual,"Lanang Laksmiwati, M.Kom.",individual,2024-04-02,2384010238,True,self_funded,2384010238,1,2384010238.0,,1.0,,1,1,1,1,2384010238,1.0,False
Perum Anggraini,corporation,"Hasna Nurdiyanti, S.E.",individual,2024-06-05,4348793047,True,self_funded,6675495990,3,2225165330.0,1839229046.8231778,1.0,66.0,3,3,1,1,4348793047,0.6514561694763298,False
UD Kuswoyo Suartini Tbk,organization,Partai Indonesia Maju,political-party,2024-09-10,2757566,False,,2757566,1,2757566.0,,1.0,,1,1,411,411,2757566,1.0,False
CV Ardianto (Persero) Tbk,corporation,"R. Yuni Dabukke, S.IP",individual,2024-12-15,13584592529,False,,14838880648,2,7419440324.0,8718841862.405392,1.0,256.0,2,2,1,1,13584592529,0.9154728615484178,False
CV Siregar Wibisono (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2025-03-22,754669659,True,proxy,754669659,1,754669659.0,,1.0,,1,1,411,411,754669659,1.0,False
