sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type
"Drs. Galiono Prastuti, M.Pd",individual,Partai Kebangkitan Rakyat,political-party,2024-10-31,89067392,False,
PT Agustina,organization,dr. Marwata Suwarno,individual,2025-07-23,18236228,True,smurfing
CV Nugroho Tbk,corporation,"Lulut Nainggolan, S.Pt",individual,2024-04-21,86019993,True,smurfing
Perum Prabowo,organization,Warsita Usada,individual,2025-10-09,1229924748,True,proxy
"Zulfa Fujiati, M.Pd",individual,Partai Kebangkitan Rakyat,political-party,2025-01-13,100941834,False,
Chelsea Tamba,individual,"R. Radika Fujiati, S.H.",individual,2024-04-26,389448483,False,
CV Saragih (Persero) Tbk,corporation,Ade Simbolon,individual,2024-01-14,23273623584,True,self_funded
Oliva Winarsih,individual,Ulva Winarsih,individual,2024-11-30,1295786589,False,
Perum Widodo Puspasari Tbk,organization,"Tgk. Putri Haryanti, S.Ked",individual,2025-09-02,42363287,True,smurfing
Kamaria Latupono,individual,"Cakrajiya Prasetyo, S.Pd",individual,2024-06-07,1451993905,False,
Elvina Saputra,individual,Partai Harapan Bangsa,political-party,2024-05-01,144878732,False,
CV Nashiruddin Wibowo,organization,Puspa Lestari,individual,2024-02-02,18995046,True,smurfing
Jabal Mardhiyah,individual,Hilda Simbolon,individual,2024-09-04,1195325152,False,
"Eka Palastri, S.Gz",individual,"dr. Restu Puspasari, S.E.I",individual,2024-11-29,2754849601,True,over_limit
Septi Uwais,individual,Partai Harapan Bangsa,political-party,2025-12-27,13275804,False,
CV Zulkarnain Simanjuntak,corporation,Partai Indonesia Maju,political-party,2024-12-29,34830623,True,proxy
PD Marpaung,corporation,Iriana Prasetyo,individual,2024-05-22,19255465613,False,
PT Marpaung Suwarno (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-12-30,30238806,True,smurfing
Ratna Prakasa,individual,Rizki Hutapea,individual,2025-07-17,1542129242,False,
Raden Pratiwi,individual,Partai Indonesia Maju,political-party,2024-06-15,86709101,False,
PT Pradipta Iswahyudi (Persero) Tbk,organization,Jumadi Pratama,individual,2024-09-22,14873958,True,smurfing
PD Marpaung Tbk,corporation,Omar Marpaung,individual,2024-10-07,1514069609,True,proxy
PD Zulkarnain Putra (Persero) Tbk,organization,Partai Amanat Rakyat,political-party,2025-10-25,225021013,False,
CV Mandasari Hutasoit (Persero) Tbk,corporation,Zulfa Maryadi,individual,2025-04-15,8870004834,True,self_funded
"Fitria Sihombing, M.Ak",individual,Partai Harapan Bangsa,political-party,2025-05-16,85361915,False,
CV Januar Budiman,organization,Genta Iswahyudi,individual,2024-11-22,200125708,True,proxy
Endah Zulkarnain,individual,Partai Persatuan,political-party,2025-02-12,153795815,False,
Damar Sihombing,individual,Partai Demokrat,political-party,2025-03-18,68552475,True,smurfing
Ir. Olivia Purnawati,individual,Partai Persatuan,political-party,2025-04-04,47744094,False,
"Betania Siregar, S.IP",individual,Partai Rakyat Sejahtera,political-party,2024-05-14,114458416,False,
Rendy Sihombing,individual,Hardana Winarno,individual,2025-09-10,2313313047,True,self_funded
Pemerintah Kota Surabaya,organization,"Dt. Bahuraksa Winarsih, S.Sos",individual,2024-10-09,5773169916,True,illegal_source
Gandi Nuraini,individual,Nrima Lazuardi,individual,2024-01-18,829440079,True,self_funded
Latika Saragih,individual,"Cakrabirawa Napitupulu, M.Ak",individual,2024-08-04,1670128091,False,
CV Damanik Zulkarnain,organization,Partai Kebangkitan Rakyat,political-party,2024-06-14,708065368,False,
Kala Tampubolon,individual,Partai Demokrat,political-party,2025-07-08,58821056,False,
Zizi Sihombing,individual,Bella Maulana,individual,2025-07-15,2085988237,True,self_funded
UD Purnawati Tbk,corporation,Partai Amanat Rakyat,political-party,2024-03-25,776912280,True,proxy
PT Kereta Api Indonesia (Persero),corporation,Partai Rakyat Sejahtera,political-party,2025-05-02,139271313,True,illegal_source
CV Budiyanto Laksita (Persero) Tbk,corporation,Adiarja Nugroho,individual,2025-12-20,65304779,True,smurfing
PT Ramadan,corporation,Halim Adriansyah,individual,2024-01-18,1735502678,True,self_funded
"Ir. Jane Rajata, S.E.",individual,Yuni Agustina,individual,2025-07-29,1824418041,False,
Bagya Uyainah,individual,Partai Solidaritas Indonesia,political-party,2025-06-23,59274739,True,smurfing
CV Salahudin Lailasari Tbk,organization,Partai Nasional Demokrat,political-party,2024-12-31,502063245,False,
PD Saputra (Persero) Tbk,organization,Partai Rakyat Sejahtera,political-party,2024-01-21,96277571,True,smurfing
"Silvia Wacana, M.Kom.",individual,Partai Persatuan,political-party,2025-11-08,60254366,False,
Among Irawan,individual,"Uli Natsir, S.Kom",individual,2025-12-03,2407636181,True,self_funded
Perum Purwanti,organization,Ivan Adriansyah,individual,2025-10-13,3502553011,False,
PT Adriansyah Tbk,corporation,"Ratih Lazuardi, S.IP",individual,2024-11-19,4336926104,False,
PT Anggriawan Wahyuni Tbk,corporation,Partai Persatuan,political-party,2025-11-23,131565117,False,
Drs. Lalita Nababan,individual,Sutan Pangeran Ramadan,individual,2024-10-19,1907251483,False,
Daru Mustofa,individual,"H. Asman Budiman, S.Ked",individual,2024-03-15,780766191,False,
"Hj. Mala Laksmiwati, S.E.",individual,"Tgk. Daruna Hakim, M.TI.",individual,2024-03-24,747121200,False,
T. Saka Melani,individual,Partai Kebangkitan Rakyat,political-party,2025-08-12,70915563,False,
Pemkab Toba,organization,Partai Indonesia Maju,political-party,2024-04-29,280269354,True,illegal_source
"Lanang Prabowo, M.Farm",individual,Karsa Pertiwi,individual,2024-05-20,61980406,True,smurfing
R.A. Endah Lestari,individual,Agnes Lazuardi,individual,2024-03-30,2209613722,False,
PT Yulianti Lailasari,organization,"Devi Sitompul, S.Pt",individual,2024-03-14,1790876925,True,proxy
"Ir. Zaenab Saragih, S.Farm",individual,Drs. Gandewa Nababan,individual,2025-05-08,1868445000,False,
CV Latupono Suryono,corporation,Partai Kebangkitan Rakyat,political-party,2025-09-25,646454569,False,
PT Hutapea,organization,Partai Nasional Demokrat,political-party,2025-06-08,69355539,True,smurfing
"H. Bancar Waskita, M.Pd",individual,Partai Nasional Demokrat,political-party,2024-04-19,131809633,False,
Rafid Salahudin,individual,"R. Radit Suwarno, M.M.",individual,2025-01-05,1860306436,False,
Dr. Adiarja Halimah,individual,Partai Demokrat,political-party,2024-01-04,154170117,False,
CV Suartini (Persero) Tbk,organization,"Ayu Wibowo, S.Pt",individual,2025-08-29,741348763,True,proxy
H. Parman Maryadi,individual,Dimaz Namaga,individual,2024-01-03,2005399515,False,
"Tgk. Balamantri Gunarto, M.Kom.",individual,"Naradi Saragih, S.Ked",individual,2025-06-01,2176942586,True,self_funded
PD Marbun Zulkarnain Tbk,corporation,Partai Amanat Rakyat,political-party,2025-11-15,65551967,True,smurfing
Kurnia Saptono,individual,Partai Demokrat,political-party,2025-06-04,59276031,False,
Vega Gunarto,individual,Partai Solidaritas Indonesia,political-party,2025-01-04,125514227,False,
PT Haryanti (Persero) Tbk,organization,Zahra Marpaung,individual,2024-06-12,1197908358,True,proxy
Karma Laksmiwati,individual,Partai Indonesia Maju,political-party,2024-09-27,49990840,True,smurfing
PD Samosir Santoso,corporation,"T. Bahuwarna Mandasari, S.E.",individual,2024-06-19,15761845422,True,self_funded
"Wardi Prasetyo, M.Ak",individual,Garan Jailani,individual,2025-04-01,1439488186,True,self_funded
Perum Budiman Tbk,corporation,"Tgk. Jaka Mardhiyah, S.Gz",individual,2024-01-12,11877708219,True,self_funded
PD Pranowo Prasetyo Tbk,corporation,Bakti Adriansyah,individual,2025-02-16,10420287538,False,
PT Pradipta,organization,dr. Dadap Nababan,individual,2025-02-12,84309012,True,smurfing
PD Thamrin,corporation,"Amalia Yolanda, M.Pd",individual,2024-02-17,4935708650,True,self_funded
CV Andriani Sihotang (Persero) Tbk,organization,Titin Yuliarti,individual,2024-04-07,1240735382,True,proxy
PD Haryanti,organization,Partai Persatuan,political-party,2025-12-12,7802758,True,smurfing
"Clara Wahyuni, S.H.",individual,Partai Kebangkitan Rakyat,political-party,2024-09-11,165029251,False,
"Drs. Rama Mayasari, S.Pd",individual,Hendra Hariyah,individual,2024-07-07,242456900,True,self_funded
"R.A. Maimunah Novitasari, S.E.",individual,Partai Demokrat,political-party,2025-12-17,148611568,False,
Zaenab Sihombing,individual,Partai Persatuan,political-party,2025-07-06,79684251,False,
Dewi Kusumo,individual,Puji Wasita,individual,2025-09-06,457364774,True,self_funded
Padmi Megantara,individual,Diana Tarihoran,individual,2025-06-03,1677308515,False,
Radit Nuraini,individual,Paris Pratama,individual,2024-01-26,1867378507,False,
PT Sinaga Astuti Tbk,organization,Partai Solidaritas Indonesia,political-party,2024-07-31,36982985,True,smurfing
PT Pratama Tbk,organization,Partai Demokrat,political-party,2024-12-26,96223702,False,
UD Nasyiah,organization,Hj. Chelsea Kurniawan,individual,2025-08-20,80618708,True,smurfing
PD Widodo Laksita (Persero) Tbk,organization,"Drs. Almira Mulyani, S.I.Kom",individual,2024-01-13,1390514445,True,proxy
Gantar Saragih,individual,R. Kusuma Simbolon,individual,2024-04-01,1873076213,False,
PD Putra (Persero) Tbk,organization,Partai Indonesia Maju,political-party,2025-09-02,1698704232,True,proxy
PT Damanik Novitasari (Persero) Tbk,organization,Darijan Samosir,individual,2025-10-02,12026979383,False,
CV Prasetyo Purwanti Tbk,corporation,Prima Nasyidah,individual,2024-04-02,17102953718,False,
PT Hartati Tbk,organization,"Sutan Prima Saefullah, S.E.I",individual,2024-10-09,1927097880,True,proxy
dr. Adhiarja Permadi,individual,Dinda Januar,individual,2025-07-08,965540707,True,self_funded
Baktiono Wahyudin,individual,"KH. Nyana Mansur, S.Sos",individual,2024-04-09,1728498293,False,
UD Budiman Latupono Tbk,corporation,Melinda Sihombing,individual,2024-11-11,22496786729,False,
"Usman Wijayanti, S.Pt",individual,"R. Ifa Nuraini, M.Pd",individual,2024-05-25,2018204881,True,self_funded
"Elisa Pratama, S.Psi",individual,Cut Kiandra Maulana,individual,2025-01-11,1662518470,False,
PD Zulaika Lailasari (Persero) Tbk,corporation,"Tirtayasa Wijayanti, S.Sos",individual,2024-06-14,11056891279,False,
Jaya Ardianto,individual,dr. Taufan Hidayat,individual,2025-03-09,1173195803,False,
PD Jailani,corporation,Jagaraga Putra,individual,2024-02-17,7309444226,True,self_funded
Perum Kurniawan,organization,Mutia Gunarto,individual,2025-11-12,53719833,True,smurfing
Perum Latupono Hassanah,corporation,Luwes Putra,individual,2024-06-13,4743301778,False,
PT Kusmawati Fujiati (Persero) Tbk,corporation,Intan Pratama,individual,2025-07-04,5694254531,True,self_funded
Winda Natsir,individual,Sadina Anggraini,individual,2024-04-17,600818422,True,self_funded
CV Sinaga,corporation,Partai Indonesia Maju,political-party,2024-11-27,369521704,True,proxy
CV Setiawan (Persero) Tbk,organization,Partai Demokrat,political-party,2024-07-17,49925371,True,smurfing
PT Adriansyah,corporation,"Ika Ramadan, S.Kom",individual,2024-11-01,6103820223,False,
PD Jailani Laksmiwati,corporation,Partai Rakyat Sejahtera,political-party,2025-07-14,94890259,False,
Bagya Pranowo,individual,"Maida Anggraini, M.Pd",individual,2024-06-20,1761481460,True,self_funded
PD Saptono Suryono (Persero) Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2025-07-16,321887110,True,proxy
PT Adriansyah Sinaga,corporation,"Arsipatra Simbolon, S.E.",individual,2024-07-28,9919521728,True,self_funded
PD Sihombing,organization,Partai Kebangkitan Rakyat,political-party,2024-10-29,1828949898,True,proxy
UD Napitupulu,corporation,"Kania Sirait, M.Ak",individual,2025-05-01,5754268040,False,
Padmi Fujiati,individual,Partai Harapan Bangsa,political-party,2025-11-05,20215882,True,smurfing
Eka Putra,individual,Partai Indonesia Maju,political-party,2024-01-09,95322676,False,
PD Habibi Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2024-02-29,196175029,False,
Puti Diah Wahyudin,individual,Tgk. Qori Laksita,individual,2025-12-08,1312173679,True,self_funded
Sakura Anggraini,individual,Partai Kebangkitan Rakyat,political-party,2025-08-23,131551162,False,
Perum Marbun,corporation,Partai Demokrat,political-party,2024-04-25,592475046,False,
PT Tarihoran Napitupulu Tbk,corporation,Partai Solidaritas Indonesia,political-party,2024-10-13,85937384,True,smurfing
CV Anggriawan (Persero) Tbk,organization,Partai Nasional Demokrat,political-party,2024-12-09,1818385577,True,proxy
"Puti Widya Saragih, S.E.",individual,Partai Demokrat,political-party,2024-08-20,75389608,False,
Ajiman Pratama,individual,Zelda Zulkarnain,individual,2025-08-05,588299975,False,
PD Narpati,corporation,dr. Rika Winarno,individual,2024-07-02,849539657,True,proxy
PD Sihombing Rahimah,organization,Partai Amanat Rakyat,political-party,2025-01-23,98018602,True,smurfing
PT Waskita (Persero) Tbk,organization,Partai Keadilan Indonesia,political-party,2024-08-30,962755255,True,proxy
drg. Iriana Suryatmi,individual,Ir. Diana Hakim,individual,2024-04-01,471308090,True,self_funded
CV Mansur Mansur,corporation,Ani Firmansyah,individual,2024-09-05,12109098607,True,self_funded
"Ulya Prasasta, S.H.",individual,Partai Demokrat,political-party,2024-03-22,22261459,False,
Galur Jailani,individual,Maryanto Usada,individual,2024-02-27,1827042674,False,
PD Kurniawan Astuti Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-05-08,1190534127,True,over_limit
UD Sirait Oktaviani Tbk,corporation,Partai Demokrat,political-party,2025-05-19,1443497449,True,over_limit
"Ir. Cinthia Santoso, S.Gz",individual,Partai Kebangkitan Rakyat,political-party,2024-01-20,86596941,False,
Galih Rajata,individual,Wira Usada,individual,2024-10-07,190049059,False,
Kurnia Suryatmi,individual,Partai Solidaritas Indonesia,political-party,2024-10-03,108879343,False,
"Enteng Maheswara, M.M.",individual,Partai Amanat Rakyat,political-party,2025-03-26,82299897,False,
CV Purwanti Tbk,corporation,Tgk. Natalia Usamah,individual,2025-11-03,11085850898,True,self_funded
Kemal Mangunsong,individual,Ira Suartini,individual,2024-09-12,55812839,True,smurfing
UD Yuniar Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2024-01-23,278680166,False,
UD Widodo Winarsih Tbk,organization,Tri Purwanti,individual,2024-02-01,63410901,True,smurfing
Sutan Omar Sihombing,individual,drg. Ajiono Suartini,individual,2025-07-12,776177414,False,
Cinta Anggraini,individual,Partai Amanat Rakyat,political-party,2024-01-29,103212568,False,
Perum Handayani Tbk,corporation,dr. Kasiyah Pratiwi,individual,2025-11-07,13420625165,False,
Calista Sihotang,individual,Partai Kebangkitan Rakyat,political-party,2024-02-04,56553502,True,smurfing
PT Narpati (Persero) Tbk,corporation,"Nadia Maulana, S.T.",individual,2024-05-26,12304909364,False,
Perum Latupono,corporation,"R. Gasti Prastuti, S.E.I",individual,2025-01-13,15795546191,False,
Perum Uyainah Adriansyah,corporation,Partai Rakyat Sejahtera,political-party,2024-08-29,642812815,True,proxy
PD Fujiati Tbk,organization,Kadir Nainggolan,individual,2024-12-09,4914023448,False,
UD Lestari (Persero) Tbk,organization,Partai Persatuan,political-party,2025-10-03,271974489,False,
Perum Widodo (Persero) Tbk,corporation,Partai Rakyat Sejahtera,political-party,2025-09-04,456124544,False,
PT Januar Sihombing,corporation,Partai Demokrat,political-party,2025-09-16,125041560,True,proxy
UD Putra Saputra (Persero) Tbk,organization,Partai Demokrat,political-party,2024-08-23,660372809,False,
UD Laksita,corporation,Partai Indonesia Maju,political-party,2025-07-19,597145553,True,proxy
Legawa Manullang,individual,Cengkir Marpaung,individual,2025-02-15,1227019996,False,
"T. Galih Anggraini, S.I.Kom",individual,Usyi Handayani,individual,2024-09-21,696510556,True,self_funded
UD Yuliarti,organization,Partai Nasional Demokrat,political-party,2024-01-13,596714499,True,proxy
CV Agustina Tbk,corporation,Partai Indonesia Maju,political-party,2024-07-14,38870628,True,smurfing
PD Suartini Nashiruddin,organization,Partai Harapan Bangsa,political-party,2024-12-30,293818817,True,proxy
UD Maryati Sihotang (Persero) Tbk,corporation,Among Wijayanti,individual,2025-09-22,17009212399,True,self_funded
UD Sinaga,corporation,Luluh Gunawan,individual,2025-04-12,18864859592,False,
Diana Yuniar,individual,Hendra Rajasa,individual,2024-05-27,1470933985,False,
Usyi Winarno,individual,Rika Purwanti,individual,2025-09-22,406951242,True,self_funded
CV Palastri Tbk,corporation,Nugraha Pangestu,individual,2025-06-08,15667759510,False,
Luwes Wasita,individual,"Halim Zulkarnain, S.Ked",individual,2024-04-25,2184446937,False,
Kurnia Firgantoro,individual,Partai Persatuan,political-party,2024-07-01,9078704,False,
Perum Purnawati (Persero) Tbk,organization,Partai Amanat Rakyat,political-party,2025-04-19,1843140799,True,proxy
Jessica Sirait,individual,Partai Nasional Demokrat,political-party,2025-07-05,124806321,False,
Raharja Usamah,individual,Partai Rakyat Sejahtera,political-party,2025-04-20,77095444,False,
"Ajiman Widodo, M.Farm",individual,Yunita Pudjiastuti,individual,2024-02-15,1329874330,True,self_funded
UD Lazuardi Andriani Tbk,organization,Partai Harapan Bangsa,political-party,2025-03-03,99071249,True,smurfing
Perum Halim,corporation,Warji Halimah,individual,2024-01-25,41590403,True,smurfing
Perum Mangunsong,corporation,Tira Sinaga,individual,2025-11-17,23916734002,True,self_funded
PT Mustofa Nashiruddin,organization,Partai Persatuan,political-party,2024-01-21,78691320,True,smurfing
Perum Haryanto Tbk,corporation,Partai Persatuan,political-party,2025-11-24,41392818,True,smurfing
"Ade Dongoran, S.E.",individual,dr. Winda Laksmiwati,individual,2024-05-29,1481975503,False,
Sakura Halim,individual,Partai Kebangkitan Rakyat,political-party,2025-04-23,142108026,False,
T. Mahmud Kusmawati,individual,"R.M. Bajragin Saptono, S.Farm",individual,2024-03-01,1913744108,False,
PT Saptono Utami,corporation,Partai Rakyat Sejahtera,political-party,2025-05-25,642474946,False,
Queen Yuliarti,individual,Partai Indonesia Maju,political-party,2024-07-28,113459547,False,
PT Uyainah (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2025-11-05,407479665,False,
Eman Wijayanti,individual,Ganda Halim,individual,2025-05-12,974835902,False,
PT Puspita Tbk,corporation,Simon Mulyani,individual,2025-04-14,53232257,True,smurfing
"Drs. Surya Uyainah, S.Gz",individual,Partai Kebangkitan Rakyat,political-party,2024-03-04,94184628,False,
Kementerian Keuangan,organization,Partai Solidaritas Indonesia,political-party,2025-03-28,520715577,True,illegal_source
PT Prasetyo (Persero) Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2025-03-27,559760486,False,
Paris Salahudin,individual,Partai Solidaritas Indonesia,political-party,2024-05-27,111207975,False,
Elvina Hassanah,individual,"Tgk. Omar Manullang, S.Kom",individual,2024-06-05,2190729564,True,self_funded
Perum Mulyani Tbk,corporation,Febi Santoso,individual,2024-05-15,23195214957,True,self_funded
"Dr. Laras Sinaga, S.Pt",individual,"KH. Lulut Hidayanto, M.Kom.",individual,2025-05-04,1857290706,True,self_funded
CV Melani (Persero) Tbk,organization,Partai Harapan Bangsa,political-party,2024-08-28,1801372634,True,proxy
Raditya Kurniawan,individual,Partai Indonesia Maju,political-party,2025-11-13,148372041,False,
UD Utami Salahudin,corporation,"Hj. Mala Mangunsong, S.Pt",individual,2025-10-09,1795118123,True,proxy
PD Pertiwi Padmasari,organization,Partai Keadilan Indonesia,political-party,2024-01-19,76456184,True,smurfing
Nova Tamba,individual,Cut Cinta Kusmawati,individual,2025-11-02,1932522263,True,self_funded
Raden Pradana,individual,Partai Amanat Rakyat,political-party,2024-08-05,1823821,False,
Maimunah Sinaga,individual,Partai Rakyat Sejahtera,political-party,2024-12-11,88401717,False,
PT PLN (Persero),corporation,"Tgk. Kamidin Purwanti, S.IP",individual,2024-09-04,8672564127,True,illegal_source
UD Yulianti Mayasari (Persero) Tbk,corporation,"Darmanto Yolanda, S.Sos",individual,2024-06-13,4232852771,False,
Ira Nasyiah,individual,Partai Rakyat Sejahtera,political-party,2025-08-10,135467229,False,
CV Andriani Tbk,corporation,Jinawi Zulkarnain,individual,2024-01-19,14640315280,False,
CV Januar Utami (Persero) Tbk,corporation,"Ghaliyati Manullang, S.H.",individual,2024-04-04,18884653830,False,
PD Hartati Lailasari (Persero) Tbk,corporation,R. Tiara Widiastuti,individual,2025-03-09,13712158473,False,
PT Situmorang Thamrin,organization,Partai Nasional Demokrat,political-party,2024-10-03,67036809,True,smurfing
CV Mansur Wacana,corporation,Partai Rakyat Sejahtera,political-party,2025-01-12,571334978,False,
CV Pudjiastuti Tbk,corporation,Partai Solidaritas Indonesia,political-party,2025-01-19,131285864,False,
PD Laksmiwati Kuswandari (Persero) Tbk,corporation,Partai Nasional Demokrat,political-party,2024-10-01,609519976,False,
CV Hutasoit,organization,"Sutan Endra Sinaga, S.Psi",individual,2025-10-07,8114571848,False,
UD Rajata Tbk,corporation,Anita Situmorang,individual,2024-07-09,19963973899,False,
"H. Cakrabuana Rahayu, S.Pd",individual,Partai Keadilan Indonesia,political-party,2024-09-25,43465661,False,
Perum Budiman,corporation,Hamima Wasita,individual,2025-10-14,21823612252,False,
PD Hutapea Tbk,organization,Partai Persatuan,political-party,2024-03-19,391474941,False,
PD Hutagalung Fujiati Tbk,corporation,Kemal Waskita,individual,2025-11-11,1958088908,False,
"Laswi Puspita, M.Farm",individual,Partai Persatuan,political-party,2024-09-06,171119235,False,
PD Maulana (Persero) Tbk,corporation,Partai Persatuan,political-party,2024-08-12,145463666,False,
Perum Pratama Anggraini (Persero) Tbk,corporation,"Yance Yolanda, S.H.",individual,2024-08-19,10338259,True,smurfing
PT Nurdiyanti,organization,Partai Kebangkitan Rakyat,political-party,2024-07-09,1402311114,True,proxy
Padmi Yulianti,individual,Irma Jailani,individual,2024-04-12,714526793,False,
T. Emong Rahimah,individual,Dr. Panji Prayoga,individual,2025-02-23,478387435,False,
PT Farida Hartati Tbk,corporation,Eja Gunawan,individual,2025-09-21,56590004,True,smurfing
PD Hutagalung Nashiruddin,corporation,Adiarja Farida,individual,2024-04-22,10423198369,False,
PD Wijayanti Yulianti (Persero) Tbk,corporation,Ani Mahendra,individual,2025-01-25,48683088467,True,over_limit
dr. Prabu Habibi,individual,Farah Hutapea,individual,2025-01-02,1315194423,False,
Zelaya Budiyanto,individual,Partai Harapan Bangsa,political-party,2025-11-18,66971136,False,
PT Rajasa Suryatmi,corporation,Drs. Ani Rahmawati,individual,2024-08-19,1127038215,True,proxy
CV Kuswoyo Dongoran (Persero) Tbk,corporation,Makuta Siregar,individual,2024-03-04,31457221,True,smurfing
PD Maulana Wastuti,corporation,Partai Rakyat Sejahtera,political-party,2024-05-25,540719400,False,
Jelita Wahyudin,individual,Partai Keadilan Indonesia,political-party,2025-11-09,79758581,False,
Karimah Tamba,individual,Partai Solidaritas Indonesia,political-party,2025-06-14,107305102,False,
CV Rahayu Iswahyudi,corporation,"Mustika Napitupulu, M.Kom.",individual,2024-06-17,414250468,True,proxy
PD Wijaya Narpati,corporation,Ir. Ajiono Mulyani,individual,2025-09-04,16625549389,True,self_funded
UD Sudiati Samosir (Persero) Tbk,corporation,Partai Nasional Demokrat,political-party,2024-09-14,540679090,False,
"Martaka Utama, S.Ked",individual,Yance Sirait,individual,2025-02-26,396618791,False,
PT Prasasta,organization,Partai Rakyat Sejahtera,political-party,2025-01-04,1070415463,True,over_limit
Perum Mahendra,corporation,Kajen Pradipta,individual,2025-05-21,9904037214,False,
H. Ega Firmansyah,individual,Partai Solidaritas Indonesia,political-party,2024-04-30,16222103,False,
PD Nugroho Hutasoit (Persero) Tbk,organization,Partai Demokrat,political-party,2025-06-27,483373721,False,
PD Lailasari Usamah,corporation,Partai Amanat Rakyat,political-party,2024-01-15,466303959,False,
CV Yulianti Tbk,organization,Lanang Winarno,individual,2024-03-08,56809259,True,smurfing
CV Hartati Sihombing (Persero) Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2024-01-31,864479732,True,proxy
PD Yolanda Kusmawati,corporation,Sadina Pangestu,individual,2025-08-10,28548679,True,smurfing
Drs. Widya Palastri,individual,Janet Pratiwi,individual,2025-10-30,1461356827,True,self_funded
Perum Saefullah Tbk,organization,"Sutan Hendri Puspasari, M.Pd",individual,2025-01-09,66056427,True,smurfing
"T. Jatmiko Suartini, S.H.",individual,Partai Keadilan Indonesia,political-party,2024-11-23,11001998,False,
Tania Iswahyudi,individual,Ifa Mandala,individual,2025-12-30,884070148,True,self_funded
Irsad Rajasa,individual,Partai Indonesia Maju,political-party,2024-01-19,109606554,False,
Perum Nuraini Wibisono,corporation,Partai Solidaritas Indonesia,political-party,2025-12-03,624262084,True,proxy
CV Samosir Permata (Persero) Tbk,organization,Jail Kurniawan,individual,2025-08-01,1357086437,True,proxy
"dr. Jagapati Hariyah, S.Farm",individual,Partai Solidaritas Indonesia,political-party,2025-10-28,2204048,False,
Anggabaya Wahyuni,individual,Partai Keadilan Indonesia,political-party,2025-02-02,40161701,True,smurfing
UD Astuti,corporation,Sutan Marsudi Maheswara,individual,2024-07-27,21291878351,False,
"Sadina Hutapea, S.IP",individual,Partai Rakyat Sejahtera,political-party,2025-03-28,7675331,False,
UD Susanti,corporation,Ella Oktaviani,individual,2025-01-26,12230010621,True,self_funded
Perum Lazuardi Mustofa (Persero) Tbk,corporation,Partai Rakyat Sejahtera,political-party,2025-10-12,682294797,False,
CV Novitasari,organization,Partai Harapan Bangsa,political-party,2025-04-13,682710032,True,proxy
UD Anggraini,corporation,Devi Hidayat,individual,2024-12-22,8178937436,False,
"R.A. Kezia Permadi, S.Psi",individual,Partai Solidaritas Indonesia,political-party,2025-04-04,13065634,False,
Najib Sinaga,individual,T. Hairyanto Widodo,individual,2024-12-10,2147903191,False,
UD Mangunsong Yulianti Tbk,corporation,Partai Nasional Demokrat,political-party,2024-08-27,43627560,False,
CV Laksmiwati,organization,"Cut Uchita Suryono, S.E.I",individual,2024-04-09,15978904388,False,
PT Pertamina (Persero),corporation,"R.M. Jamil Mulyani, M.M.",individual,2025-01-22,13872065399,True,illegal_source
PT Mulyani Wulandari,corporation,"Winda Prastuti, S.Psi",individual,2024-05-21,13832910208,True,self_funded
CV Gunarto Pranowo,corporation,Partai Nasional Demokrat,political-party,2024-11-30,938408147,True,proxy
Endah Dabukke,individual,Nasim Rahayu,individual,2025-02-19,2394356513,True,self_funded
UD Hutagalung,organization,Partai Indonesia Maju,political-party,2025-11-20,1737114466,True,proxy
UD Megantara Hidayanto,corporation,Partai Nasional Demokrat,political-party,2024-02-16,926244772,True,over_limit
"Wisnu Natsir, S.Sos",individual,Partai Kebangkitan Rakyat,political-party,2024-09-08,73453088,False,
CV Saefullah Yuliarti,organization,Drajat Puspasari,individual,2025-04-11,54369083,True,smurfing
UD Habibi Mustofa Tbk,corporation,Anita Wulandari,individual,2025-05-18,13711719247,True,self_funded
Sutan Empluk Haryanti,individual,Partai Demokrat,political-party,2024-12-02,26334933,False,
"Drs. Oliva Palastri, S.Pt",individual,Partai Nasional Demokrat,political-party,2025-09-02,2546206,True,smurfing
PT Dongoran (Persero) Tbk,corporation,Partai Persatuan,political-party,2025-05-04,1652686495,True,proxy
Perum Saputra Tbk,corporation,Partai Keadilan Indonesia,political-party,2025-10-10,917501637,True,over_limit
"Harimurti Prasetya, S.E.",individual,Unjani Wibisono,individual,2025-05-25,1973843241,False,
PT Uyainah,corporation,Ilsa Susanti,individual,2024-03-27,6219892739,True,self_funded
PT Uwais,corporation,Mariadi Nainggolan,individual,2024-11-24,469629313,True,proxy
Danu Oktaviani,individual,KH. Tugiman Tarihoran,individual,2024-10-13,1668693359,False,
Siti Kuswandari,individual,"Irsad Putra, S.Psi",individual,2024-07-10,877037221,True,self_funded
UD Tamba Yuliarti,organization,Mila Namaga,individual,2025-10-31,1619012619,True,proxy
